Current Year,CGPA,1st yr 1st sem GPA,IP,ICS,MC,CS,1st yr 2nd sem GPA,OOC,SPM,PS1,EAP,ISDM,IWT,2nd yr 1st sem GPA,SE,OOP,DBMS,OSSA,2nd yr 2nd sem GPA,MAD,CN,DSA,ITP,PS2,ESD1,3rd yr 1st sem GPA,NDM,DS,PAF,ITPM,ESD2,3rd yr 2nd sem GPA,HCI,IAS,DA,BMIT
4,2.350,2.2,C,C,C,B,2.2,B,C+,C+,C,C,C,2.17,B-,C,C,C,2.66,C+,C,B,B+,B-,A-,2.1,B-,C,F,A-,A+,2.78,B+,B-,C+,B
4,1.550,1.15,E,C,D+,C+,1.73,C,C,D,C+,C+,C,1.25,C,E,C,C,1.28,D+,E,E,C,C+,A,1.6,R,D,R,C,A-,1.56,B-,R,F,C+
4,3.530,3.35,A,A,C+,B,3.09,A,B+,C,C+,B+,A-,4,A,A,A,A,3.5,A,B+,B+,A,C+,A,3.67,A,B-,A,A+,A+,3.74,A-,A,B+,A
4,2.380,2.59,A-,C,C,B-,2.22,B,C+,C,C,C,C+,2.43,B+,C,C,C,1.86,B,E,C,C,B-,B-,2.25,C,C+,R,B,B,2.82,B+,B-,C-,A
4,2.280,1.76,C+,C,C+,E,2.18,C+,C,C+,C,B,C,2.43,B+,C,C,C,2.29,C,C+,C,B,C,C+,2,C,IC,IC,IC,B-,2.78,B-,B-,C,A
4,2.100,2.06,B-,C,PC,B-,1.88,C,C+,E,C,C,B-,1.83,C,B,D+,C,2.4,B,C,C,B+,B,B,1.78,R,C-,C,R,B-,2.19,B+,R,C,C
4,2.490,2.16,C+,C,C+,C,2.23,B+,C+,C,C+,C,C,2.4,B+,C,C+,C,2.57,B-,C,B-,A-,C+,A-,2.6,R,C+,B-,A-,B,2.85,B-,B-,B,B
4,1.350,1.01,D,C,C,C,2.23,C,C,E,C+,B-,C,1.8,C,C,D,D+,1.71,C,E,D,A-,C,B+,2.13,C-,IC,C-,B,A-,1.45,R,D+,F,C
4,2.580,2.27,C,C+,B-,C,2.18,B+,C+,C,C,C,C,2.92,A,B,C,B-,2.18,C,C+,C+,B-,D,A-,3,B-,C+,B,A,D,3.13,A-,B,B-,B+
4,2.890,1.9,C,C,C,C,2.24,C+,C,C,C,C,B,3.17,A,B,B-,B+,2.87,B-,B,B,B-,B,A+,3.35,B,B,A-,A-,B,3.94,A-,A,A,A+
4,1.940,1.33,C,C,C,C,1.37,C,C,C,D+,E,C,1.57,C-,IC,D+,C-,2.03,C-,C,C,C+,C+,A,2.17,B-,E,B-,B+,B+,2.34,B-,R,C,B+
4,2.040,1.77,C,C,C,C,2.06,B,B-,E,C,C,C,1.5,B-,C,C,E,1.97,C+,D,C-,A-,C+,A-,1.75,C+,C-,F,B,A,2.78,B,B-,C,A-
4,1.960,1.43,C,C,C,C,1.58,C,C,E,C,C,C,1.92,C,C,C,C+,1.78,B-,D,C+,C,C,B-,2.17,B-,D+,R,B,B,2.13,B-,R,C-,B-
4,2.300,2.19,C,B-,C,C,2.28,B,B-,C,C,C+,C,2.08,C+,C,C,C,2.32,B-,C,C,B+,C+,C+,2,IC,IC,C,IC,B,2.54,B,C+,C+,B-
4,2.880,2.35,C,C,B+,C,2.83,B,B-,C,C+,B,A-,2.85,A,B-,B-,C,2.7,B+,C,B,A-,C+,B,2.92,B-,C+,B-,A,A,3.41,B+,B-,A,A-
4,2.110,1.73,C,C,C,C,1.98,C+,C,E,C,C+,C,2.08,B-,C+,C,C,2.22,C,E,C,A,C,B,2.33,C+,C,C,B,B+,1.85,R,R,C,C
4,1.770,1.1,D+,E,IC,C+,1.78,C,C+,E,C+,C,C,0.5,C,IC,D,E,2.43,IC,D+,B-,B,B,C,2.1,D+,IC,R,B+,A,2.26,IC,R,IC,B
